model,dimension,group,hit_rate,pval,n,flagged,flag_reason
linear_regime,ticker,GLD,0.4376012965964344,0.0021904305216823685,617,True,hit_rate < 0.45
linear_regime,ticker,HYG,0.3371150729335494,4.51484454729288e-16,617,True,hit_rate < 0.45
linear_regime,ticker,IEF,0.44246353322528365,0.004791182405563647,617,True,hit_rate < 0.45
linear_regime,ticker,IWM,0.6126418152350082,2.4260694667747525e-08,617,False,
linear_regime,ticker,LQD,0.42625607779578606,0.0002842518831288066,617,True,hit_rate < 0.45
linear_regime,ticker,QQQ,0.5380875202593193,0.06395423790479676,617,False,
linear_regime,ticker,SPY,0.4668820678513732,0.10781790174095333,619,False,
linear_regime,ticker,TLT,0.4829821717990275,0.4207439823475771,617,False,
linear_regime,ticker,USO,0.5640194489465153,0.0016668889765625503,617,False,
linear_regime,ticker,XLB,0.5510534846029174,0.012496835084813161,617,False,
linear_regime,ticker,XLC,0.5510534846029174,0.012496835084813161,617,False,
linear_regime,ticker,XLE,0.5105348460291734,0.6290590742036524,617,False,
linear_regime,ticker,XLF,0.5008103727714749,1.0,617,False,
linear_regime,ticker,XLI,0.5299837925445705,0.14719221339472335,617,False,
linear_regime,ticker,XLK,0.5996758508914101,8.346111444257951e-07,617,False,
linear_regime,ticker,XLP,0.4959481361426256,0.8720833976311518,617,False,
linear_regime,ticker,XLRE,0.5056726094003241,0.809152033862599,617,False,
linear_regime,ticker,XLU,0.526742301458671,0.19761161788168788,617,False,
linear_regime,ticker,XLV,0.5672609400324149,0.0009476077607843745,617,False,
linear_regime,ticker,XLY,0.539708265802269,0.05322117131563737,617,False,
linear_regime,regime,crisis,0.5408163265306123,0.00023040344582001592,2058,False,
linear_regime,regime,neutral,0.4560168895144265,9.941956310045243e-09,4263,False,
linear_regime,regime,risk_off,0.4812698412698413,0.1438644418098384,1575,False,
linear_regime,regime,risk_on,0.5659564823209429,1.9605116710100307e-18,4412,False,
logistic_base,year,2023,0.44642857142857145,0.002116558147486724,840,True,hit_rate < 0.45
